# t_us	I_over_time_mean
3.71475176	1.27949918
3.73097339	1.29848133
3.74719501	1.31693521
3.76341663	1.3348366
3.77963826	1.35216212
3.79585988	1.36888926
3.8120815	1.38499647
3.82830313	1.40046315
3.84452475	1.41526973
3.86074637	1.42939769
3.876968	1.44282961
3.89318962	1.45554916
3.90941125	1.4675412
3.92563287	1.47879172
3.94185449	1.48928795
3.95807612	1.49901831
3.97429774	1.50797244
3.99051936	1.51614127
4.00674099	1.52351693
4.02296261	1.53009285
4.03918423	1.5358637
4.05540586	1.54082543
4.07162748	1.54497522
4.0878491	1.54831155
4.10407073	1.5508341
4.12029235	1.5525438
4.13651397	1.5534428
4.1527356	1.55353443
4.16895722	1.55282322
4.18517884	1.55131483
4.20140047	1.54901607
4.21762209	1.54593483
4.23384371	1.54208006
4.25006534	1.53746178
4.26628696	1.53209098
4.28250858	1.52597961
4.29873021	1.51914056
4.31495183	1.5115876
4.33117345	1.50333533
4.34739508	1.49439917
4.3636167	1.48479527
4.37983832	1.47454052
4.39605995	1.46365243
4.41228157	1.45214918
4.42850319	1.44004946
4.44472482	1.42737254
4.46094644	1.41413812
4.47716807	1.40036635
4.49338969	1.38607775
4.50961131	1.37129317
4.52583294	1.35603374
4.54205456	1.34032085
4.55827618	1.32417604
4.57449781	1.30762104
4.59071943	1.29067765
4.60694105	1.27336774
4.62316268	1.2557132
4.6393843	1.23773589
4.65560592	1.21945761
4.67182755	1.20090005
4.68804917	1.18208478
4.70427079	1.16303318
4.72049242	1.14376643
4.73671404	1.12430548
4.75293566	1.10467101
4.76915729	1.08488341
4.78537891	1.06496274
4.80160053	1.04492874
4.81782216	1.02480076
4.83404378	1.00459778
4.8502654	0.984338396
4.86648703	0.964040761
4.88270865	0.943722613
4.89893027	0.923401247
4.9151519	0.903093509
4.93137352	0.882815786
4.94759514	0.862584004
4.96381677	0.84241362
4.98003839	0.822319625
4.99626001	0.802316539
5.01248164	0.782418416
5.02870326	0.762638846
5.04492488	0.742990958
5.06114651	0.723487429
5.07736813	0.70414049
5.09358976	0.684961936
5.10981138	0.665963133
5.126033	0.647155033
5.14225463	0.628548182
5.15847625	0.610152736
5.17469787	0.591978475
5.1909195	0.574034815
5.20714112	0.556330823
5.22336274	0.538875235
5.23958437	0.52167647
5.25580599	0.504742645
5.27202761	0.488081594
5.28824924	0.471700882
5.30447086	0.455607821
5.32069248	0.439809487
5.33691411	0.424312734
5.35313573	0.409124212
5.36935735	0.394250378
5.38557898	0.379697515
5.4018006	0.365471739
5.41802222	0.351579018
5.43424385	0.338025181
5.45046547	0.32481593
5.46668709	0.311956849
5.48290872	0.299453413
5.49913034	0.287310998
5.51535196	0.275534888
5.53157359	0.264130278
5.54779521	0.253102281
5.56401683	0.242455929
5.58023846	0.23219618
5.59646008	0.222327912
5.6126817	0.212855928
5.62890333	0.203784954
5.64512495	0.195119632
5.66134657	0.186864519
5.6775682	0.17902408
5.69378982	0.171602685
5.71001145	0.164604594
5.72623307	0.158033955
5.74245469	0.15189479
5.75867632	0.146190984
5.77489794	0.140926273
5.79111956	0.136104233
5.80734119	0.131728261
5.82356281	0.127801565
5.83978443	0.124327144
5.85600606	0.121307777
5.87222768	0.118746
5.8884493	0.116644091
5.90467093	0.115004053
5.92089255	0.113827597
5.93711417	0.113116117
5.9533358	0.11287068
5.96955742	0.113092002
5.98577904	0.113780429
6.00200067	0.114935923
6.01822229	0.116558038
6.03444391	0.118645908
6.05066554	0.121198224
6.06688716	0.124213223
6.08310878	0.127688665
6.09933041	0.131621826
6.11555203	0.136009475
6.13177365	0.140847867
6.14799528	0.146132725
6.1642169	0.151859234
6.18043852	0.158022025
6.19666015	0.164615172
6.21288177	0.171632177
6.22910339	0.179065972
6.24532502	0.186908907
6.26154664	0.19515275
6.27776827	0.203788687
6.29398989	0.212807317
6.31021151	0.222198658
6.32643314	0.231952148
6.34265476	0.242056651
6.35887638	0.252500462
6.37509801	0.263271318
6.39131963	0.274356405
6.40754125	0.285742374
6.42376288	0.297415352
6.4399845	0.309360957
6.45620612	0.321564317
6.47242775	0.334010089
6.48864937	0.346682478
6.50487099	0.359565258
6.52109262	0.372641803
6.53731424	0.385895101
6.55353586	0.399307792
6.56975749	0.412862187
6.58597911	0.426540304
6.60220073	0.440323896
6.61842236	0.454194483
6.63464398	0.468133385
6.6508656	0.482121757
6.66708723	0.496140623
6.68330885	0.510170912
6.69953047	0.524193494
6.7157521	0.538189218
6.73197372	0.55213895
6.74819534	0.566023608
6.76441697	0.579824204
6.78063859	0.593521879
6.79686021	0.607097943
6.81308184	0.620533914
6.82930346	0.633811553
6.84552508	0.646912906
6.86174671	0.659820338
6.87796833	0.672516569
6.89418996	0.684984716
6.91041158	0.697208319
6.9266332	0.709171385
6.94285483	0.720858414
6.95907645	0.732254434
6.97529807	0.743345035
6.9915197	0.754116392
7.00774132	0.7645553
7.02396294	0.774649198
7.04018457	0.784386193
7.05640619	0.793755086
7.07262781	0.802745394
7.08884944	0.811347369
7.10507106	0.819552014
7.12129268	0.827351106
7.13751431	0.834737204
7.15373593	0.841703665
7.16995755	0.848244651
7.18617918	0.854355144
7.2024008	0.860030944
7.21862242	0.86526868
7.23484405	0.870065807
7.25106567	0.874420611
7.26728729	0.878332202
7.28350892	0.881800514
7.29973054	0.884826296
7.31595216	0.887411105
7.33217379	0.889557294
7.34839541	0.891268005
7.36461703	0.892547147
7.38083866	0.893399388
7.39706028	0.893830133
7.4132819	0.893845502
7.42950353	0.893452318
7.44572515	0.892658074
7.46194678	0.891470916
7.4781684	0.889899615
7.49439002	0.88795354
7.51061165	0.885642632
7.52683327	0.882977372
7.54305489	0.879968753
7.55927652	0.876628251
7.57549814	0.872967787
7.59171976	0.868999702
7.60794139	0.86473672
7.62416301	0.860191916
7.64038463	0.855378681
7.65660626	0.850310691
7.67282788	0.845001869
7.6890495	0.839466356
7.70527113	0.833718473
7.72149275	0.827772692
7.73771437	0.821643596
7.753936	0.815345855
7.77015762	0.808894187
7.78637924	0.802303331
7.80260087	0.795588015
7.81882249	0.788762924
7.83504411	0.781842676
7.85126574	0.774841791
7.86748736	0.767774665
7.88370898	0.760655546
7.89993061	0.75349851
7.91615223	0.746317436
7.93237385	0.739125987
7.94859548	0.73193759
7.9648171	0.724765417
7.98103872	0.71762237
7.99726035	0.710521064
8.01348197	0.703473815
8.02970359	0.696492625
8.04592522	0.689589177
8.06214684	0.682774823
8.07836847	0.676060578
8.09459009	0.669457114
8.11081171	0.662974757
8.12703334	0.656623485
8.14325496	0.650412928
8.15947658	0.644352368
8.17569821	0.638450743
8.19191983	0.632716649
8.20814145	0.627158346
8.22436308	0.621783768
8.2405847	0.616600525
8.25680632	0.611615918
8.27302795	0.606836945
8.28924957	0.602270316
8.30547119	0.597922463
8.32169282	0.593799552
8.33791444	0.5899075
8.35413606	0.586251989
8.37035769	0.58283848
8.38657931	0.579672228
8.40280093	0.576758301
8.41902256	0.574101595
8.43524418	0.571706849
8.4514658	0.569578663
8.46768743	0.567721515
8.48390905	0.566139778
8.50013067	0.564837733
8.5163523	0.56381959
8.53257392	0.563089497
8.54879554	0.562651562
8.56501717	0.562509862
8.58123879	0.562668458
8.59746041	0.563131409
8.61368204	0.563902783
8.62990366	0.564986667
8.64612529	0.566387179
8.66234691	0.568108474
8.67856853	0.570154753
8.69479016	0.57253027
8.71101178	0.575239335
8.7272334	0.57828632
8.74345503	0.58167566
8.75967665	0.585411851
8.77589827	0.589499456
8.7921199	0.593943095
8.80834152	0.598747448
8.82456314	0.603917247
8.84078477	0.609457266
8.85700639	0.615372321
8.87322801	0.621667252
8.88944964	0.628346917
8.90567126	0.635416176
8.92189288	0.642879882
8.93811451	0.65074286
8.95433613	0.659009894
8.97055775	0.667685706
8.98677938	0.676774941
9.003001	0.686282144
9.01922262	0.696211738
9.03544425	0.706568004
9.05166587	0.717355055
9.06788749	0.728576816
9.08410912	0.740236994
9.10033074	0.752339056
9.11655236	0.764886204
9.13277399	0.777881345
9.14899561	0.791327066
9.16521723	0.805225609
9.18143886	0.819578842
9.19766048	0.834388232
9.2138821	0.849654817
9.23010373	0.865379185
9.24632535	0.88156144
9.26254698	0.898201182
9.2787686	0.915297481
9.29499022	0.93284885
9.31121185	0.950853223
9.32743347	0.969307934
9.34365509	0.988209693
9.35987672	1.00755457
9.37609834	1.02733796
9.39231996	1.0475546
9.40854159	1.06819852
9.42476321	1.08926303
9.44098483	1.11074072
9.45720646	1.13262345
9.47342808	1.15490235
9.4896497	1.17756776
9.50587133	1.20060929
9.52209295	1.22401579
9.53831457	1.24777533
9.5545362	1.27187523
9.57075782	1.29630204
9.58697944	1.32104156
9.60320107	1.34607885
9.61942269	1.37139821
9.63564431	1.39698324
9.65186594	1.42281679
9.66808756	1.44888105
9.68430918	1.4751575
9.70053081	1.50162698
9.71675243	1.52826967
9.73297405	1.55506516
9.74919568	1.58199243
9.7654173	1.60902992
9.78163892	1.63615553
9.79786055	1.66334667
9.81408217	1.69058028
9.83030379	1.71783287
9.84652542	1.74508058
9.86274704	1.77229918
9.87896867	1.79946413
9.89519029	1.82655064
9.91141191	1.85353366
9.92763354	1.88038798
9.94385516	1.90708826
9.96007678	1.93360904
9.97629841	1.95992483
9.99252003	1.98601015
10.0087417	2.01183955
10.0249633	2.03738769
10.0411849	2.06262936
10.0574065	2.08753955
10.0736281	2.11209349
10.0898498	2.13626669
10.1060714	2.160035
10.122293	2.18337467
10.1385146	2.20626234
10.1547363	2.22867515
10.1709579	2.25059075
10.1871795	2.27198735
10.2034011	2.29284378
10.2196228	2.31313948
10.2358444	2.33285461
10.252066	2.35197003
10.2682876	2.37046738
10.2845093	2.38832909
10.3007309	2.40553839
10.3169525	2.42207942
10.3331741	2.43793717
10.3493957	2.45309757
10.3656174	2.46754746
10.381839	2.48127469
10.3980606	2.49426806
10.4142822	2.5065174
10.4305039	2.51801353
10.4467255	2.52874834
10.4629471	2.53871474
10.4791687	2.54790671
10.4953904	2.55631927
10.511612	2.56394853
10.5278336	2.57079166
10.5440552	2.57684688
10.5602768	2.5821135
10.5764985	2.58659186
10.5927201	2.59028336
10.6089417	2.59319045
10.6251633	2.59531657
10.641385	2.59666622
10.6576066	2.59724485
10.6738282	2.5970589
10.6900498	2.59611576
10.7062715	2.59442376
10.7224931	2.59199211
10.7387147	2.58883091
10.7549363	2.5849511
10.771158	2.58036445
10.7873796	2.57508349
10.8036012	2.56912152
10.8198228	2.56249255
10.8360444	2.55521125
10.8522661	2.54729296
10.8684877	2.53875361
10.8847093	2.52960967
10.9009309	2.51987818
10.9171526	2.50957662
10.9333742	2.49872294
10.9495958	2.48733546
10.9658174	2.47543288
10.9820391	2.46303421
10.9982607	2.45015872
11.0144823	2.43682594
11.0307039	2.42305554
11.0469256	2.40886739
11.0631472	2.39428141
11.0793688	2.37931763
11.0955904	2.36399607
11.111812	2.34833676
11.1280337	2.33235964
11.1442553	2.31608458
11.1604769	2.29953132
11.1766985	2.28271942
11.1929202	2.26566824
11.2091418	2.2483969
11.2253634	2.23092427
11.241585	2.21326889
11.2578067	2.19544898
11.2740283	2.17748243
11.2902499	2.15938669
11.3064715	2.14117883
11.3226931	2.1228755
11.3389148	2.10449286
11.3551364	2.0860466
11.371358	2.06755192
11.3875796	2.04902351
11.4038013	2.03047551
11.4200229	2.01192153
11.4362445	1.99337463
11.4524661	1.97484728
11.4686878	1.95635139
11.4849094	1.93789828
11.501131	1.91949869
11.5173526	1.90116274
11.5335743	1.88289999
11.5497959	1.86471937
11.5660175	1.84662923
11.5822391	1.82863732
11.5984607	1.8107508
11.6146824	1.79297623
11.630904	1.77531962
11.6471256	1.75778636
11.6633472	1.74038131
11.6795689	1.72310876
11.6957905	1.70597245
11.7120121	1.6889756
11.7282337	1.67212088
11.7444554	1.65541049
11.760677	1.6388461
11.7768986	1.62242891
11.7931202	1.60615968
11.8093419	1.59003868
11.8255635	1.57406579
11.8417851	1.55824046
11.8580067	1.54256173
11.8742283	1.52702829
11.89045	1.51163845
11.9066716	1.49639018
11.9228932	1.48128115
11.9391148	1.46630871
11.9553365	1.45146992
11.9715581	1.43676159
11.9877797	1.42218028
12.0040013	1.40772233
12.020223	1.39338385
12.0364446	1.37916079
12.0526662	1.36504892
12.0688878	1.35104384
12.0851095	1.33714104
12.1013311	1.32333587
12.1175527	1.30962361
12.1337743	1.29599943
12.1499959	1.28245845
12.1662176	1.26899572
12.1824392	1.25560628
12.1986608	1.24228513
12.2148824	1.22902728
12.2311041	1.21582774
12.2473257	1.20268154
12.2635473	1.18958375
12.2797689	1.17652948
12.2959906	1.16351392
12.3122122	1.15053231
12.3284338	1.13757998
12.3446554	1.12465235
12.360877	1.11174496
12.3770987	1.09885344
12.3933203	1.08597355
12.4095419	1.07310119
12.4257635	1.06023239
12.4419852	1.04736332
12.4582068	1.03449032
12.4744284	1.02160989
12.49065	1.00871867
12.5068717	0.995813507
12.5230933	0.982891414
12.5393149	0.969949588
12.5555365	0.956985418
12.5717582	0.943996489
12.5879798	0.930980584
12.6042014	0.91793569
12.620423	0.904860005
12.6366446	0.891751937
12.6528663	0.878610107
12.6690879	0.865433361
12.6853095	0.852220761
12.7015311	0.838971598
12.7177528	0.825685389
12.7339744	0.812361883
12.750196	0.799001061
12.7664176	0.78560314
12.7826393	0.772168574
12.7988609	0.758698056
12.8150825	0.74519252
12.8313041	0.731653146
12.8475258	0.718081354
12.8637474	0.704478812
12.879969	0.690847436
12.8961906	0.677189388
12.9124122	0.66350708
12.9286339	0.649803173
12.9448555	0.636080578
12.9610771	0.622342457
