# delay_us	theta_over_pi_weighted_mean	rel_deviation_percent
0.01	5.27386846	0.586021399
0.015	5.28909332	0.876398126
0.02	5.30422453	1.16498864
0.025	5.3192609	1.45177021
0.03	5.33420123	1.73672006
0.035	5.34904432	2.0198154
0.04	5.36378898	2.30103337
0.045	5.37843401	2.58035111
0.05	5.3929782	2.85774571
0.055	5.40742036	3.13319424
0.06	5.42175928	3.40667374
0.065	5.43599376	3.67816124
0.07	5.45012258	3.94763374
0.075	5.46414455	4.21506823
0.08	5.47805846	4.48044168
0.085	5.4918631	4.74373107
0.09	5.50555726	5.00491335
0.095	5.51913973	5.26396548
0.1	5.53260931	5.5208644
0.105	5.54596478	5.7755871
0.11	5.55920495	6.02811051
0.115	5.57232859	6.27841163
0.12	5.58533451	6.52646743
0.125	5.5982215	6.77225491
0.13	5.61098835	7.01575111
0.135	5.62363386	7.25693305
0.14	5.63615683	7.49577781
0.145	5.64855606	7.73226248
0.15	5.66083035	7.9663642
0.155	5.6729785	8.19806014
0.16	5.68499931	8.4273275
0.165	5.6968916	8.65414353
0.17	5.70865417	8.87848553
0.175	5.72028584	9.10033085
0.18	5.73178541	9.31965689
0.185	5.74315172	9.53644111
0.19	5.75438358	9.75066104
0.195	5.76547981	9.96229427
0.2	5.77643924	10.1713185
0.205	5.78726072	10.3777113
0.21	5.79794306	10.5814507
0.215	5.80848512	10.7825145
0.22	5.81888574	10.9808806
0.225	5.82914377	11.1765271
0.23	5.83925806	11.3694323
0.235	5.84922747	11.5595742
0.24	5.85905087	11.7469314
0.245	5.86872714	11.9314822
0.25	5.87825514	12.1132053
0.255	5.88763375	12.2920792
0.26	5.89686187	12.4680829
0.265	5.9059384	12.6411951
0.27	5.91486222	12.8113951
0.275	5.92363226	12.9786619
0.28	5.93224742	13.1429748
0.285	5.94070663	13.3043134
0.29	5.94900882	13.4626571
0.295	5.95715292	13.6179858
0.3	5.96513788	13.7702792
0.305	5.97296266	13.9195175
0.31	5.98062621	14.0656808
0.315	5.98812751	14.2087495
0.32	5.99546553	14.3487041
0.325	6.00263926	14.4855254
0.33	6.0096477	14.6191941
0.335	6.01648986	14.7496913
0.34	6.02316475	14.8769983
0.345	6.02967139	15.0010965
0.35	6.03600883	15.1219675
0.355	6.04217611	15.2395931
0.36	6.04817228	15.3539553
0.365	6.05399642	15.4650363
0.37	6.05964759	15.5728186
0.375	6.0651249	15.6772847
0.38	6.07042744	15.7784176
0.385	6.07555433	15.8762003
0.39	6.08050468	15.970616
0.395	6.08527764	16.0616484
0.4	6.08987235	16.1492812
0.405	6.09428797	16.2334983
0.41	6.09852368	16.314284
0.415	6.10257867	16.3916228
0.42	6.10645212	16.4654994
0.425	6.11014326	16.5358989
0.43	6.11365132	16.6028063
0.435	6.11697552	16.6662074
0.44	6.12011514	16.7260877
0.445	6.12306942	16.7824334
0.45	6.12583766	16.8352307
0.455	6.12841915	16.8844663
0.46	6.13081321	16.930127
0.465	6.13301915	16.9721999
0.47	6.13503633	17.0106726
0.475	6.13686409	17.0455327
0.48	6.13850181	17.0767682
0.485	6.13994889	17.1043675
0.49	6.14120471	17.1283193
0.495	6.1422687	17.1486123
0.5	6.14314031	17.165236
0.505	6.14381897	17.1781798
0.51	6.14430416	17.1874337
0.515	6.14459537	17.1929877
0.52	6.1446921	17.1948325
0.525	6.14459386	17.1929589
0.53	6.1443002	17.1873581
0.535	6.14381067	17.1780215
0.54	6.14312484	17.164941
0.545	6.14224231	17.1481089
0.55	6.14116268	17.1275176
0.555	6.13988557	17.10316
0.56	6.13841064	17.0750293
0.565	6.13673755	17.0431192
0.57	6.13486598	17.0074235
0.575	6.13279562	16.9679366
0.58	6.1305262	16.9246531
0.585	6.12805746	16.877568
0.59	6.12538916	16.8266766
0.595	6.12252106	16.7719748
0.6	6.11945298	16.7134587
0.605	6.11618472	16.6511248
0.61	6.11271613	16.5849698
0.615	6.10904705	16.5149912
0.62	6.10517736	16.4411865
0.625	6.10110696	16.3635537
0.63	6.09683577	16.2820912
0.635	6.09236371	16.1967978
0.64	6.08769076	16.1076728
0.645	6.08281688	16.0147155
0.65	6.07774207	15.9179262
0.655	6.07246636	15.8173049
0.66	6.06698978	15.7128527
0.665	6.06131239	15.6045705
0.67	6.05543427	15.4924599
0.675	6.04935554	15.376523
0.68	6.0430763	15.256762
0.685	6.0365967	15.1331797
0.69	6.02991692	15.0057793
0.695	6.02303713	14.8745644
0.7	6.01595755	14.7395389
0.705	6.00867841	14.6007073
0.71	6.00119996	14.4580744
0.715	5.99352248	14.3116453
0.72	5.98564625	14.1614257
0.725	5.9775716	14.0074217
0.73	5.96929887	13.8496397
0.735	5.96082841	13.6880866
0.74	5.9521606	13.5227696
0.745	5.94329586	13.3536966
0.75	5.93423461	13.1808755
0.755	5.92497729	13.004315
0.76	5.91552437	12.824024
0.765	5.90587635	12.6400118
0.77	5.89603375	12.4522884
0.775	5.88599708	12.2608638
0.78	5.87576692	12.0657486
0.785	5.86534383	11.8669541
0.79	5.85472843	11.6644915
0.795	5.84392133	11.4583728
0.8	5.83292318	11.2486102
0.805	5.82173465	11.0352165
0.81	5.81035642	10.8182048
0.815	5.79878919	10.5975886
0.82	5.78703371	10.3733819
0.825	5.77509073	10.1455989
0.83	5.76296102	9.91425462
0.835	5.75064537	9.67936407
0.84	5.73814461	9.44094288
0.845	5.72545957	9.19900706
0.85	5.71259111	8.953573
0.855	5.69954012	8.70465752
0.86	5.68630749	8.45227784
0.865	5.67289416	8.19645156
0.87	5.65930106	7.93719671
0.875	5.64552916	7.67453171
0.88	5.63157944	7.40847536
0.885	5.61745292	7.13904689
0.89	5.60315063	6.86626588
0.895	5.5886736	6.59015234
0.9	5.57402291	6.31072664
0.905	5.55919965	6.02800957
0.91	5.54420493	5.74202227
0.915	5.52903988	5.45278628
0.92	5.51370564	5.16032351
0.925	5.49820338	4.86465627
0.93	5.4825343	4.56580722
0.935	5.4666996	4.2637994
0.94	5.45070051	3.95865621
0.945	5.43453827	3.65040144
0.95	5.41821415	3.33905923
0.955	5.40172944	3.02465406
0.96	5.38508544	2.70721081
0.965	5.36828347	2.38675467
0.97	5.35132487	2.0633112
0.975	5.33421099	1.73690632
0.98	5.31694323	1.40756628
0.985	5.29952296	1.07531765
0.99	5.2819516	0.740187377
0.995	5.26423058	0.402202711
1	5.24636135	0.0613912429
