# delay_us	theta_over_pi_weighted_mean	rel_deviation_percent
-0.12	8.78078472	-0.785985107
-0.115	8.78644738	-0.722002738
-0.11	8.79187132	-0.660717736
-0.105	8.79705623	-0.602133402
-0.1	8.80200185	-0.546252887
-0.095	8.80670791	-0.493079199
-0.09	8.81117415	-0.442615194
-0.085	8.81540033	-0.394863586
-0.08	8.81938623	-0.34982694
-0.075	8.82313163	-0.307507673
-0.07	8.82663634	-0.267908058
-0.065	8.82990015	-0.231030219
-0.06	8.83292291	-0.196876135
-0.055	8.83570444	-0.165447638
-0.05	8.8382446	-0.136746412
-0.045	8.84054325	-0.110773996
-0.04	8.84260026	-0.0875317824
-0.035	8.84441554	-0.0670210155
-0.03	8.84598897	-0.0492427945
-0.025	8.84732048	-0.0341980716
-0.02	8.84841	-0.0218876524
-0.015	8.84925746	-0.0123121962
-0.01	8.84986282	-0.00547221571
-0.005	8.85022605	-0.00136807706
0	8.85034713	2.22044605e-14
0.005	8.85022605	-0.00136805778
0.01	8.84986282	-0.00547217715
0.015	8.84925746	-0.0123121384
0.02	8.84841	-0.0218875753
0.025	8.84732049	-0.0341979752
0.03	8.84598898	-0.0492426789
0.035	8.84441555	-0.0670208806
0.04	8.84260028	-0.0875316282
0.045	8.84054326	-0.110773823
0.05	8.83824461	-0.13674622
0.055	8.83570446	-0.165447426
0.06	8.83292293	-0.196875904
0.065	8.82990017	-0.231029969
0.07	8.82663636	-0.267907788
0.075	8.82313166	-0.307507384
0.08	8.81938626	-0.349826632
0.085	8.81540036	-0.394863259
0.09	8.81117418	-0.442614848
0.095	8.80670794	-0.493078834
0.1	8.80200189	-0.546252503
0.105	8.79705627	-0.602132998
0.11	8.79187135	-0.660717314
0.115	8.78644742	-0.722002296
0.12	8.78078476	-0.785984647
0.125	8.77488368	-0.852660919
0.13	8.76874449	-0.922027519
0.135	8.76236754	-0.994080708
0.14	8.75575315	-1.0688166
0.145	8.74890169	-1.14623115
0.15	8.74181353	-1.22632019
0.155	8.73448906	-1.30907938
0.16	8.72692866	-1.39450425
0.165	8.71913275	-1.48259018
0.17	8.71110175	-1.57333239
0.175	8.70283609	-1.66672597
0.18	8.69433623	-1.76276585
0.185	8.68560262	-1.86144683
0.19	8.67663574	-1.96276352
0.195	8.66743608	-2.06671044
0.2	8.65800413	-2.17328193
0.205	8.64834042	-2.28247218
0.21	8.63844546	-2.39427524
0.215	8.6283198	-2.50868502
0.22	8.61796398	-2.62569527
0.225	8.60737858	-2.7452996
0.23	8.59656418	-2.86749147
0.235	8.58552136	-2.99226419
0.24	8.57425073	-3.11961092
0.245	8.56275291	-3.24952468
0.25	8.55102854	-3.38199834
0.255	8.53907824	-3.51702463
0.26	8.52690269	-3.65459611
0.265	8.51450254	-3.79470522
0.27	8.5018785	-3.93734422
0.275	8.48903124	-4.08250527
0.28	8.47596149	-4.23018032
0.285	8.46266995	-4.38036124
0.29	8.44915738	-4.53303969
0.295	8.43542451	-4.68820723
0.3	8.42147212	-4.84585525
0.305	8.40730096	-5.005975
0.31	8.39291184	-5.16855757
0.315	8.37830555	-5.33359392
0.32	8.36348291	-5.50107485
0.325	8.34844474	-5.67099103
0.33	8.33319188	-5.84333297
0.335	8.31772518	-6.01809102
0.34	8.30204552	-6.19525542
0.345	8.28615376	-6.37481623
0.35	8.27005081	-6.55676337
0.355	8.25373756	-6.74108664
0.36	8.23721494	-6.92777565
0.365	8.22048386	-7.1168199
0.37	8.20354529	-7.30820873
0.375	8.18640016	-7.50193134
0.38	8.16904946	-7.69797677
0.385	8.15149416	-7.89633394
0.39	8.13373527	-8.0969916
0.395	8.11577377	-8.29993836
0.4	8.0976107	-8.50516271
0.405	8.0792471	-8.71265297
0.41	8.06068399	-8.92239732
0.415	8.04192245	-9.13438379
0.42	8.02296355	-9.3486003
0.425	8.00380837	-9.56503458
0.43	7.984458	-9.78367425
0.435	7.96491355	-10.0045068
0.44	7.94517615	-10.2275195
0.445	7.92524693	-10.4526996
0.45	7.90512704	-10.6800341
0.455	7.88481764	-10.9095099
0.46	7.86431989	-11.1411137
0.465	7.84363499	-11.3748323
0.47	7.82276412	-11.610652
0.475	7.80170851	-11.8485592
0.48	7.78046936	-12.0885402
0.485	7.75904792	-12.3305809
0.49	7.73744542	-12.5746673
0.495	7.71566313	-12.8207853
0.5	7.69370231	-13.0689203
0.505	7.67156426	-13.319058
0.51	7.64925025	-13.5711838
0.515	7.62676161	-13.8252828
0.52	7.60409964	-14.0813402
0.525	7.58126567	-14.339341
0.53	7.55826105	-14.59927
0.535	7.53508713	-14.8611119
0.54	7.51174528	-15.1248513
0.545	7.48823687	-15.3904727
0.55	7.46456329	-15.6579603
0.555	7.44072594	-15.9272983
0.56	7.41672623	-16.1984708
0.565	7.39256558	-16.4714618
0.57	7.36824543	-16.7462549
0.575	7.34376723	-17.022834
0.58	7.31913242	-17.3011825
0.585	7.29434248	-17.5812838
0.59	7.26939888	-17.8631214
0.595	7.24430312	-18.1466782
0.6	7.21905668	-18.4319374
0.605	7.1936611	-18.718882
0.61	7.16811788	-19.0074946
0.615	7.14242855	-19.2977581
0.62	7.11659467	-19.5896549
0.625	7.09061778	-19.8831675
0.63	7.06449945	-20.1782784
0.635	7.03824125	-20.4749696
0.64	7.01184476	-20.7732233
0.645	6.98531158	-21.0730214
0.65	6.95864331	-21.374346
0.655	6.93184157	-21.6771786
0.66	6.90490798	-21.9815011
0.665	6.87784417	-22.2872948
0.67	6.85065179	-22.5945414
0.675	6.82333248	-22.903222
0.68	6.79588791	-23.213318
0.685	6.76831974	-23.5248104
0.69	6.74062967	-23.8376803
0.695	6.71281937	-24.1519087
0.7	6.68489055	-24.4674762
0.705	6.65684491	-24.7843637
0.71	6.62868416	-25.1025518
0.715	6.60041003	-25.4220209
0.72	6.57202425	-25.7427516
0.725	6.54352856	-26.0647242
0.73	6.51492471	-26.3879188
0.735	6.48621446	-26.7123158
0.74	6.45739956	-27.0378951
0.745	6.42848179	-27.3646367
0.75	6.39946293	-27.6925206
0.755	6.37034476	-28.0215265
0.76	6.34112909	-28.3516341
0.765	6.31181771	-28.6828232
0.77	6.28241242	-29.0150733
0.775	6.25291505	-29.3483639
0.78	6.22332741	-29.6826744
0.785	6.19365134	-30.0179841
0.79	6.16388866	-30.3542723
0.795	6.13404123	-30.6915182
0.8	6.10411088	-31.029701
0.805	6.07409946	-31.3687997
0.81	6.04400885	-31.7087933
0.815	6.0138409	-32.0496608
0.82	5.98359748	-32.3913809
0.825	5.95328047	-32.7339326
0.83	5.92289174	-33.0772945
0.835	5.89243319	-33.4214455
0.84	5.8619067	-33.7663641
0.845	5.83131416	-34.1120288
0.85	5.80065749	-34.4584184
0.855	5.76993857	-34.8055111
0.86	5.73915932	-35.1532856
0.865	5.70832165	-35.5017202
0.87	5.67742748	-35.8507933
0.875	5.64647871	-36.2004831
0.88	5.61547728	-36.550768
0.885	5.58442512	-36.9016262
0.89	5.55332414	-37.2530359
0.895	5.52217628	-37.6049753
0.9	5.49098347	-37.9574226
0.905	5.45974765	-38.3103558
0.91	5.42847076	-38.6637531
0.915	5.39715475	-39.0175926
0.92	5.36580154	-39.3718522
0.925	5.33441308	-39.7265101
0.93	5.30299133	-40.0815442
0.935	5.27153823	-40.4369326
0.94	5.24005572	-40.7926532
0.945	5.20854576	-41.148684
0.95	5.17701029	-41.505003
0.955	5.14545126	-41.8615881
0.96	5.11387063	-42.2184174
0.965	5.08227035	-42.5754688
0.97	5.05065236	-42.9327202
0.975	5.01901862	-43.2901496
0.98	4.98737107	-43.647735
0.985	4.95571166	-44.0054544
0.99	4.92404235	-44.3632857
0.995	4.89236507	-44.721207
1	4.86068177	-45.0791963
