# t0_us	theta_over_pi_weighted_mean
1.87297297	0.0805189864
1.88108108	0.0785105714
1.88918919	0.0766350215
1.8972973	0.0748880014
1.90540541	0.073265218
1.91351351	0.0717624222
1.92162162	0.0703754102
1.92972973	0.0691000253
1.93783784	0.0679321592
1.94594595	0.0668677534
1.95405405	0.0659028009
1.96216216	0.0650333469
1.97027027	0.0642554909
1.97837838	0.0635653873
1.98648649	0.0629592466
1.99459459	0.062433337
2.0027027	0.0619839851
2.01081081	0.061607577
2.01891892	0.0613005595
2.02702703	0.0610594405
2.03513514	0.0608807906
2.04324324	0.0607612434
2.05135135	0.0606974962
2.05945946	0.0606863114
2.06756757	0.0607245163
2.07567568	0.0608090045
2.08378378	0.0609367359
2.09189189	0.0611047376
2.1	0.0613101039
2.10810811	0.0615499973
2.11621622	0.0618216485
2.12432432	0.0621223567
2.13243243	0.0624494902
2.14054054	0.062800486
2.14864865	0.0631728507
2.15675676	0.06356416
2.16486486	0.063972059
2.17297297	0.0643942625
2.18108108	0.0648285543
2.18918919	0.0652727877
2.1972973	0.0657248854
2.20540541	0.0661828387
2.21351351	0.0666447079
2.22162162	0.067108622
2.22972973	0.0675727779
2.23783784	0.0680354405
2.24594595	0.0684949424
2.25405405	0.0689496828
2.26216216	0.0693981278
2.27027027	0.0698388095
2.27837838	0.0702703254
2.28648649	0.070691338
2.29459459	0.0711005739
2.3027027	0.0714968235
2.31081081	0.07187894
2.31891892	0.0722458386
2.32702703	0.0725964962
2.33513514	0.0729299499
2.34324324	0.0732452968
2.35135135	0.0735416927
2.35945946	0.0738183515
2.36756757	0.0740745441
2.37567568	0.0743095974
2.38378378	0.0745228933
2.39189189	0.0747138682
2.4	0.0748820112
2.40810811	0.0750268634
2.41621622	0.0751480172
2.42432432	0.0752451144
2.43243243	0.0753178459
2.44054054	0.07536595
2.44864865	0.0753892115
2.45675676	0.0753874605
2.46486486	0.0753605713
2.47297297	0.075308461
2.48108108	0.0752310884
2.48918919	0.0751284529
2.4972973	0.0750005933
2.50540541	0.0748475861
2.51351351	0.074669545
2.52162162	0.074466619
2.52972973	0.0742389916
2.53783784	0.0739868793
2.54594595	0.0737105303
2.55405405	0.0734102236
2.56216216	0.0730862673
2.57027027	0.0727389977
2.57837838	0.0723687777
2.58648649	0.0719759959
2.59459459	0.0715610652
2.6027027	0.0711244215
2.61081081	0.0706665226
2.61891892	0.0701878467
2.62702703	0.0696888917
2.63513514	0.0691701735
2.64324324	0.0686322249
2.65135135	0.0680755948
2.65945946	0.0675008465
2.66756757	0.0669085567
2.67567568	0.0662993148
2.68378378	0.065673721
2.69189189	0.0650323859
2.7	0.0643759289
2.70810811	0.0637049776
2.71621622	0.0630201662
2.72432432	0.0623221349
2.73243243	0.0616115287
2.74054054	0.0608889965
2.74864865	0.06015519
2.75675676	0.059410763
2.76486486	0.05865637
2.77297297	0.0578926659
2.78108108	0.0571203047
2.78918919	0.0563399389
2.7972973	0.0555522183
2.80540541	0.0547577898
2.81351351	0.053957296
2.82162162	0.0531513751
2.82972973	0.0523406595
2.83783784	0.0515257757
2.84594595	0.0507073432
2.85405405	0.0498859743
2.86216216	0.0490622732
2.87027027	0.0482368353
2.87837838	0.0474102472
2.88648649	0.0465830856
2.89459459	0.0457559172
2.9027027	0.0449292981
2.91081081	0.0441037735
2.91891892	0.0432798769
2.92702703	0.0424581306
2.93513514	0.0416390443
2.94324324	0.0408231157
2.95135135	0.0400108298
2.95945946	0.0392026585
2.96756757	0.0383990609
2.97567568	0.0376004828
2.98378378	0.0368073566
2.99189189	0.0360201011
3	0.0352391217
3.00810811	0.0344648099
3.01621622	0.0336975438
3.02432432	0.0329376875
3.03243243	0.0321855918
3.04054054	0.0314415937
3.04864865	0.0307060167
3.05675676	0.029979171
3.06486486	0.0292613533
3.07297297	0.0285528476
